epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6891,2.01789,4.1894,1.60681,0.00785,0.06488,0.01233,0.00428,1.59407,3.97899,1.2769,0.00014443,0.00014443,0.00014443
2,51.7718,1.83987,3.3086,1.34393,0.0188,0.38838,0.11402,0.06049,1.62735,3.53308,1.22609,0.000294031,0.000294031,0.000294031
3,65.8947,1.74453,2.57269,1.29179,0.44568,0.32906,0.19642,0.10493,1.60308,3.12311,1.25781,0.000437472,0.000437472,0.000437472
4,74.5168,1.68022,2.20739,1.25303,0.737,0.13861,0.23658,0.11205,1.63419,3.02025,1.30291,0.000574754,0.000574754,0.000574754
5,89.4096,1.65273,2.06901,1.23247,0.63557,0.18081,0.32393,0.16946,1.65128,2.79059,1.31157,0.000705876,0.000705876,0.000705876
6,100.949,1.62491,1.88049,1.25118,0.65829,0.28906,0.37276,0.19576,1.64354,2.48289,1.30675,0.000830839,0.000830839,0.000830839
7,113.223,1.5967,1.87754,1.25864,0.56081,0.44509,0.51998,0.27693,1.58661,2.02586,1.26063,0.000949643,0.000949643,0.000949643
8,120.306,1.59987,1.69243,1.21608,0.51475,0.56329,0.57699,0.30361,1.67698,1.95814,1.31135,0.000957015,0.000957015,0.000957015
9,131.755,1.52597,1.57423,1.2495,0.53768,0.67968,0.64216,0.34944,1.663,1.80563,1.31144,0.000935018,0.000935018,0.000935018
10,142.432,1.53062,1.53522,1.2296,0.68116,0.5865,0.67638,0.37157,1.60549,1.85141,1.30065,0.00091302,0.00091302,0.00091302
11,153.796,1.53447,1.46739,1.21793,0.69816,0.45778,0.6905,0.38443,1.58017,1.93052,1.2886,0.000891022,0.000891022,0.000891022
12,161.663,1.49673,1.47436,1.22306,0.5941,0.60619,0.6671,0.38837,1.58413,1.92381,1.28846,0.000869024,0.000869024,0.000869024
13,171.935,1.55142,1.47467,1.25616,0.54605,0.61835,0.62264,0.31847,1.68146,1.77239,1.34074,0.000847026,0.000847026,0.000847026
14,185.186,1.4664,1.36408,1.1988,0.70638,0.61893,0.68417,0.38057,1.56238,1.48418,1.29466,0.000825029,0.000825029,0.000825029
15,194.243,1.46103,1.38043,1.21317,0.63804,0.62023,0.68184,0.38687,1.56264,1.60773,1.30013,0.000803031,0.000803031,0.000803031
16,202.832,1.42777,1.32866,1.18716,0.75893,0.58648,0.69893,0.3765,1.59325,1.62971,1.30124,0.000781033,0.000781033,0.000781033
17,216.519,1.43241,1.30966,1.1851,0.73752,0.66021,0.72883,0.3918,1.55647,1.39639,1.27808,0.000759035,0.000759035,0.000759035
18,228.226,1.47927,1.27788,1.18667,0.59712,0.63749,0.63674,0.31314,1.70258,1.57378,1.38387,0.000737037,0.000737037,0.000737037
19,237.192,1.45272,1.22598,1.16998,0.68965,0.64913,0.7272,0.38934,1.54661,1.31811,1.27549,0.00071504,0.00071504,0.00071504
20,249.799,1.43476,1.30179,1.18331,0.7084,0.62778,0.70769,0.36897,1.57163,1.51615,1.2751,0.000693042,0.000693042,0.000693042
21,260.326,1.41543,1.24627,1.15936,0.73961,0.63245,0.71693,0.40149,1.52296,1.33748,1.25709,0.000671044,0.000671044,0.000671044
22,270.077,1.42093,1.22232,1.16864,0.65425,0.58743,0.65882,0.31312,1.67195,1.48989,1.32209,0.000649046,0.000649046,0.000649046
23,285.817,1.36999,1.19093,1.16749,0.57528,0.62711,0.66545,0.32455,1.67616,1.42636,1.33111,0.000627048,0.000627048,0.000627048
24,295.099,1.38859,1.15447,1.14881,0.68499,0.582,0.67691,0.33593,1.72506,1.41007,1.35706,0.000605051,0.000605051,0.000605051
25,306.565,1.36168,1.13578,1.14467,0.58636,0.65348,0.67293,0.33482,1.74201,1.40661,1.37902,0.000583053,0.000583053,0.000583053
26,315.755,1.34838,1.10959,1.14691,0.55072,0.73168,0.70356,0.38359,1.546,1.29428,1.28486,0.000561055,0.000561055,0.000561055
27,326.727,1.39251,1.15205,1.13905,0.54417,0.68136,0.69555,0.36274,1.62508,1.32789,1.31011,0.000539057,0.000539057,0.000539057
28,337.011,1.35499,1.10306,1.12783,0.59986,0.71312,0.73434,0.41,1.55333,1.26323,1.27919,0.000517059,0.000517059,0.000517059
29,347.064,1.34513,1.08777,1.12877,0.67648,0.60256,0.70189,0.3525,1.7366,1.33807,1.3738,0.000495062,0.000495062,0.000495062
30,357.03,1.33839,1.05744,1.11339,0.65503,0.65191,0.7105,0.37583,1.63161,1.26787,1.31839,0.000473064,0.000473064,0.000473064
31,366.938,1.28804,1.05821,1.11769,0.66578,0.6667,0.7175,0.36654,1.68246,1.27071,1.33051,0.000451066,0.000451066,0.000451066
32,378.151,1.34111,1.05823,1.12214,0.69997,0.67673,0.73494,0.41286,1.56682,1.23547,1.27669,0.000429068,0.000429068,0.000429068
33,389.313,1.30926,1.03328,1.10329,0.67813,0.6756,0.74553,0.4156,1.57653,1.23444,1.28108,0.00040707,0.00040707,0.00040707
34,398.875,1.29134,1.02665,1.11129,0.58598,0.69357,0.72541,0.41017,1.56695,1.24637,1.29627,0.000385073,0.000385073,0.000385073
35,408.645,1.31113,1.00509,1.10024,0.56707,0.71254,0.73379,0.41356,1.55983,1.24263,1.29426,0.000363075,0.000363075,0.000363075
36,419.258,1.26753,0.99139,1.08643,0.66112,0.67147,0.73872,0.39596,1.58751,1.22895,1.31665,0.000341077,0.000341077,0.000341077
37,432.103,1.26532,0.98046,1.08643,0.62791,0.7013,0.7396,0.41246,1.57002,1.20979,1.30687,0.000319079,0.000319079,0.000319079
38,442.519,1.26054,0.97442,1.11513,0.71008,0.67321,0.74078,0.41461,1.58048,1.22187,1.31331,0.000297081,0.000297081,0.000297081
39,450.891,1.27918,0.94981,1.0776,0.70614,0.6339,0.71291,0.368,1.71286,1.25798,1.38454,0.000275084,0.000275084,0.000275084
40,464.443,1.27746,0.96674,1.0903,0.65123,0.68644,0.74336,0.41751,1.58834,1.19838,1.30438,0.000253086,0.000253086,0.000253086
