                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0185,                 4.2059,                 1.6195,                0.00769,                0.06429,                0.01346,                0.00493,                 1.6713,                 4.0517,                 1.3607,             0.00014443,             0.00014443,             0.00014443
                      2,                 1.8423,                 3.3304,                 1.3645,                0.01636,                0.35964,                0.10221,                0.05472,                 1.6711,                 3.5833,                  1.247,             0.00029403,             0.00029403,             0.00029403
                      3,                 1.7515,                 2.5859,                 1.2928,                0.03103,                0.69367,                0.20305,                0.10563,                 1.6445,                 3.0284,                 1.2747,             0.00043747,             0.00043747,             0.00043747
                      4,                 1.6923,                 2.2089,                 1.2561,                0.69878,                0.06687,                0.19349,                0.09439,                 1.7002,                 3.2365,                 1.3882,             0.00057475,             0.00057475,             0.00057475
                      5,                 1.6514,                 2.0585,                 1.2223,                0.67746,                0.23802,                0.41424,                0.20351,                 1.7179,                 2.5383,                 1.3335,             0.00070588,             0.00070588,             0.00070588
                      6,                 1.6129,                 1.8687,                 1.2349,                0.65587,                 0.3684,                0.41244,                 0.2136,                 1.6571,                 2.2014,                 1.2941,             0.00083084,             0.00083084,             0.00083084
                      7,                 1.5773,                 1.8479,                 1.2468,                0.44785,                0.43756,                0.44507,                0.23193,                 1.6343,                 1.8697,                 1.2782,             0.00094964,             0.00094964,             0.00094964
                      8,                 1.6114,                 1.6593,                 1.2232,                0.65577,                0.63396,                0.66363,                0.36038,                 1.7186,                 1.8962,                 1.3121,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.5359,                 1.5666,                 1.2467,                0.68463,                 0.6218,                0.66402,                0.37197,                 1.6927,                 1.6233,                 1.3333,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.5254,                 1.5243,                 1.2232,                0.71503,                0.65476,                0.71265,                0.39255,                 1.6689,                 1.5115,                 1.3449,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.5331,                 1.4595,                 1.2143,                0.56592,                0.76218,                 0.6958,                0.37347,                  1.643,                 1.6318,                 1.3062,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.4997,                 1.4718,                 1.2168,                0.75382,                0.52627,                0.63326,                0.33224,                 1.7335,                 2.0195,                 1.3838,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.5374,                 1.4761,                 1.2576,                 0.7268,                0.55368,                0.68346,                0.37011,                 1.7043,                 1.6401,                 1.3725,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.4708,                 1.3394,                 1.2015,                0.65376,                0.63037,                0.66464,                0.35646,                 1.6721,                 1.4403,                 1.3615,             0.00082503,             0.00082503,             0.00082503
                     15,                  1.475,                 1.3654,                 1.2134,                0.62625,                0.67346,                0.70011,                 0.3893,                 1.6228,                  1.451,                  1.317,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.4297,                  1.315,                   1.19,                0.75583,                0.61247,                0.70935,                0.40091,                 1.6272,                  1.472,                 1.3407,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.4253,                 1.3225,                 1.1919,                0.74671,                 0.6273,                0.72388,                0.41131,                 1.6354,                 1.4031,                 1.3411,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.4677,                 1.2858,                 1.1907,                 0.6776,                0.65055,                0.67601,                0.35078,                 1.7612,                 1.4403,                 1.4138,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.4356,                 1.2138,                 1.1676,                0.67538,                0.65255,                0.71044,                0.41194,                 1.6139,                 1.3464,                 1.3069,             0.00071504,             0.00071504,             0.00071504
                     20,                 1.4482,                 1.2928,                 1.1919,                0.78154,                 0.5707,                 0.7075,                0.39771,                 1.5896,                 1.5433,                 1.2921,             0.00069304,             0.00069304,             0.00069304
                     21,                  1.419,                 1.2403,                 1.1578,                0.68201,                0.62765,                0.69003,                0.40659,                 1.5472,                 1.3644,                 1.2736,             0.00067104,             0.00067104,             0.00067104
                     22,                  1.428,                 1.2262,                 1.1725,                0.70986,                0.60685,                 0.7199,                0.40108,                 1.6124,                 1.3423,                 1.2938,             0.00064905,             0.00064905,             0.00064905
                     23,                 1.3672,                 1.2011,                 1.1638,                0.77524,                0.60681,                0.73093,                0.41492,                 1.5609,                 1.3135,                 1.2762,             0.00062705,             0.00062705,             0.00062705
                     24,                  1.394,                   1.16,                 1.1495,                0.68675,                0.63988,                0.70314,                0.36754,                  1.668,                 1.3604,                 1.3289,             0.00060505,             0.00060505,             0.00060505
                     25,                 1.3631,                  1.144,                  1.144,                0.62095,                0.64265,                0.69761,                 0.3636,                 1.7266,                 1.4391,                 1.3702,             0.00058305,             0.00058305,             0.00058305
