epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.946,1.95466,3.50557,1.50026,0.01207,0.47916,0.11596,0.0585,1.61018,3.54933,1.32724,0.000361301,0.000361301,0.000361301
2,272.425,1.78223,2.35158,1.34344,0.66557,0.19858,0.32539,0.16832,1.68654,2.56939,1.30952,0.000717148,0.000717148,0.000717148
3,422.633,1.74346,2.08084,1.35366,0.53778,0.48906,0.50823,0.26102,1.69686,2.17079,1.36329,0.00105833,0.00105833,0.00105833
4,552.846,1.72278,2.02323,1.38222,0.48573,0.43683,0.44228,0.22516,1.72509,2.01206,1.42502,0.00104501,0.00104501,0.00104501
5,666.14,1.68993,1.8538,1.33759,0.45141,0.62576,0.5923,0.31546,1.60821,1.66064,1.3088,0.00102301,0.00102301,0.00102301
6,783.968,1.67021,1.74805,1.32599,0.59242,0.536,0.57286,0.31602,1.62724,1.64069,1.32024,0.00100101,0.00100101,0.00100101
7,897.005,1.6699,1.71499,1.32266,0.58269,0.58364,0.61189,0.31849,1.65371,1.56672,1.36614,0.000979013,0.000979013,0.000979013
8,1008.77,1.62857,1.6379,1.31797,0.53538,0.62538,0.63712,0.33648,1.57582,1.53912,1.32266,0.000957015,0.000957015,0.000957015
9,1121.81,1.632,1.663,1.33436,0.55881,0.66101,0.62915,0.33652,1.54852,1.45605,1.28984,0.000935018,0.000935018,0.000935018
10,1233.96,1.62903,1.60393,1.31069,0.66978,0.58099,0.6452,0.35753,1.57319,1.54404,1.34,0.00091302,0.00091302,0.00091302
11,1342.45,1.58912,1.55864,1.28983,0.62686,0.58126,0.60358,0.32864,1.61566,1.62224,1.37195,0.000891022,0.000891022,0.000891022
12,1446.35,1.57228,1.5312,1.28418,0.56816,0.61362,0.59234,0.30472,1.66817,1.54691,1.36972,0.000869024,0.000869024,0.000869024
13,1554.17,1.57814,1.50612,1.28489,0.59774,0.67633,0.67958,0.38023,1.53203,1.37483,1.29677,0.000847026,0.000847026,0.000847026
14,1665.71,1.58106,1.47979,1.29771,0.61379,0.65656,0.65597,0.35681,1.60698,1.39913,1.35024,0.000825029,0.000825029,0.000825029
15,1778.99,1.51372,1.86659,1.24861,0.63312,0.67718,0.6825,0.38989,1.53246,1.32212,1.31817,0.000803031,0.000803031,0.000803031
16,1892.25,1.55511,1.42075,1.27567,0.52004,0.65069,0.64071,0.35085,1.5545,1.48076,1.32689,0.000781033,0.000781033,0.000781033
17,2003.6,1.56593,1.43638,1.2949,0.64526,0.64595,0.68784,0.38856,1.56931,1.34435,1.31994,0.000759035,0.000759035,0.000759035
18,2116.98,1.54923,1.39966,1.2787,0.67787,0.62339,0.69363,0.40382,1.53226,1.31743,1.29915,0.000737037,0.000737037,0.000737037
19,2229.2,1.53537,1.36965,1.25607,0.61312,0.67978,0.68306,0.38521,1.53077,1.39963,1.32198,0.00071504,0.00071504,0.00071504
20,2340.88,1.49698,1.34367,1.24516,0.63553,0.70201,0.69347,0.37421,1.56552,1.29806,1.32504,0.000693042,0.000693042,0.000693042
21,2451.43,1.52194,1.33001,1.26481,0.61446,0.64368,0.63133,0.353,1.60422,1.35722,1.35066,0.000671044,0.000671044,0.000671044
22,2559.19,1.4902,1.32445,1.24299,0.6548,0.67755,0.70047,0.40388,1.54519,1.2834,1.33316,0.000649046,0.000649046,0.000649046
23,2665.47,1.51796,1.34003,1.26708,0.66274,0.61602,0.69961,0.40802,1.50702,1.24099,1.28658,0.000627048,0.000627048,0.000627048
24,2775.65,1.49283,1.25267,1.237,0.6695,0.67788,0.72124,0.41861,1.53889,1.20289,1.30365,0.000605051,0.000605051,0.000605051
25,2886.96,1.50105,1.30965,1.24577,0.71799,0.66058,0.71444,0.41074,1.58893,1.27254,1.35525,0.000583053,0.000583053,0.000583053
26,3001.71,1.47782,1.25556,1.22781,0.67968,0.65212,0.69134,0.39052,1.58415,1.3605,1.34349,0.000561055,0.000561055,0.000561055
27,3115.69,1.47247,1.21029,1.23266,0.65573,0.69138,0.69265,0.39222,1.58842,1.26564,1.34676,0.000539057,0.000539057,0.000539057
28,3228.52,1.47587,1.2124,1.2248,0.73042,0.68809,0.72984,0.41453,1.51576,1.2323,1.28747,0.000517059,0.000517059,0.000517059
29,3340.62,1.47951,1.19225,1.25163,0.69949,0.68842,0.73026,0.43044,1.49995,1.19326,1.27604,0.000495062,0.000495062,0.000495062
30,3453.8,1.4365,1.21468,1.20164,0.73066,0.66626,0.73035,0.42859,1.543,1.18664,1.31537,0.000473064,0.000473064,0.000473064
31,3563.92,1.43603,1.19362,1.20303,0.71003,0.69849,0.7429,0.44445,1.51823,1.13954,1.30789,0.000451066,0.000451066,0.000451066
32,3673.49,1.43312,1.15136,1.22052,0.71004,0.70588,0.72534,0.44132,1.48615,1.19052,1.29823,0.000429068,0.000429068,0.000429068
33,3786.44,1.39621,1.12125,1.1941,0.68353,0.7454,0.76092,0.46015,1.48493,1.11333,1.28403,0.00040707,0.00040707,0.00040707
34,3899.49,1.40903,1.12901,1.20378,0.64749,0.71475,0.73816,0.43764,1.53814,1.16349,1.32307,0.000385073,0.000385073,0.000385073
35,4011.91,1.40678,1.17684,1.20017,0.66874,0.73393,0.74507,0.44566,1.4985,1.13429,1.2951,0.000363075,0.000363075,0.000363075
36,4124.83,1.38124,1.06558,1.17903,0.65208,0.67376,0.7176,0.4246,1.49234,1.22029,1.29789,0.000341077,0.000341077,0.000341077
37,4235.56,1.39054,1.10672,1.18015,0.77191,0.69385,0.77437,0.47397,1.47058,1.07445,1.27886,0.000319079,0.000319079,0.000319079
38,4346.15,1.36224,1.04479,1.173,0.73489,0.69963,0.76458,0.46354,1.48503,1.09335,1.28543,0.000297081,0.000297081,0.000297081
39,4455.75,1.3833,1.04654,1.17884,0.78083,0.66468,0.76746,0.46833,1.48006,1.09543,1.29188,0.000275084,0.000275084,0.000275084
40,4567.08,1.35094,1.02677,1.16255,0.72895,0.72203,0.76957,0.46463,1.46502,1.07861,1.27618,0.000253086,0.000253086,0.000253086
41,4693.85,1.34069,1.16018,1.1838,0.70856,0.72195,0.75941,0.45162,1.50082,1.13989,1.29768,0.000231088,0.000231088,0.000231088
42,4805.71,1.29851,0.98416,1.17085,0.78239,0.71865,0.77443,0.47064,1.47729,1.06606,1.28211,0.00020909,0.00020909,0.00020909
43,4919.46,1.27921,0.95259,1.15052,0.70323,0.73539,0.7583,0.45737,1.51304,1.13552,1.30928,0.000187092,0.000187092,0.000187092
44,5030.73,1.29357,0.93967,1.15696,0.74392,0.72438,0.77459,0.47118,1.46345,1.07067,1.27548,0.000165095,0.000165095,0.000165095
45,5140.61,1.24106,0.91092,1.12928,0.79136,0.69522,0.77797,0.47107,1.47593,1.0601,1.27941,0.000143097,0.000143097,0.000143097
46,5253.39,1.25972,0.91492,1.12934,0.76935,0.722,0.77238,0.47676,1.46832,1.07958,1.27743,0.000121099,0.000121099,0.000121099
47,5365.81,1.31443,0.93363,1.19878,0.80707,0.68611,0.78124,0.48104,1.44964,1.04856,1.27241,9.91012e-05,9.91012e-05,9.91012e-05
48,5477.42,1.24711,0.88161,1.11737,0.75903,0.71372,0.77438,0.47738,1.46136,1.07322,1.28494,7.71034e-05,7.71034e-05,7.71034e-05
49,5590.91,1.25231,0.8652,1.14459,0.77108,0.71526,0.78272,0.48581,1.45156,1.04639,1.27725,5.51056e-05,5.51056e-05,5.51056e-05
50,5701.4,1.22807,0.89545,1.11944,0.75262,0.73582,0.78014,0.48511,1.45416,1.04587,1.27705,3.31078e-05,3.31078e-05,3.31078e-05
